Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.8,2.53,0.17,1,6.51,95,73,8.9,2475
FIFA 14,PS3,2013,Sports,Electronic Arts,0.79,4.24,0.07,1.38,6.48,86,37,4.3,576
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.18,1.8,1.03,0.46,6.47,87,77,8.6,368
Assassins Creed III,PS3,2012,Action,Ubisoft,2.65,2.52,0.16,1.12,6.46,85,41,6.9,1314
Halo: Combat Evolved,X,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97,68,8.6,1292
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.56,2.61,0.25,1,6.42,92,16,6.4,2530
Pok\xc3\xa9mon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76,28,9,223
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85,46,8.8,610
Pok\xc3\xa9mon Crystal Version,G,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,68,26,7,162
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.71,1.97,0.09,0.58,6.35,95,96,9,2327
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83,94,7.1,1166
Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92,61,8.6,444
World of Warcraft,PC,2004,Role-Playing,Activision,0.09,6.22,0,0,6.31,93,57,7.3,2199
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,68,26,7,162
Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87,22,8,81
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91,96,7.8,1510
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73,51,7.4,95
Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94,88,8.3,2301
FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.91,6.08,82,47,5.7,993
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96,42,8.7,1035
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,68,26,7,162
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94,20,9.4,934
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94,82,8.7,3575
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95,92,64,7.7,982
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.19,0.29,0.99,5.89,95,98,9.1,8039
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95,85,6.8,5319
Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89,13,9.2,369
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,2.15,2.57,0.16,0.93,5.8,77,86,3.5,1208
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87,65,8.8,202
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89,8,8.9,102
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.93,2.32,0,0.49,5.74,97,14,7.9,774
Destiny,PS4,2014,Shooter,Activision,2.5,2.07,0.16,0.93,5.66,76,95,6.1,5389
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.56,0,0.51,5.64,80,17,8.9,62
Cooking Mama,DS,2006,Simulation,505 Games,3.08,1.91,0.07,0.57,5.64,67,35,7.2,21
Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,68,26,7,162
Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,68,26,7,162
Assassins Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91,70,8.6,1212
Assassins Creed,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81,77,7.7,1084
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92,90,8,516
Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84,19,7.8,42
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96,42,8.6,2174
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81,48,8.7,124
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93,24,8.3,108
Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,68,26,7,162
Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,68,26,7,162
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66,22,7.1,161
Minecraft,PS3,2014,Misc,Sony Computer Entertainment,2.1,2.42,0,0.89,5.41,68,26,7,162
Call of Duty: World at War,PS3,2008,Shooter,Activision,2.73,1.83,0,0.83,5.4,85,45,7.6,410
Tomodachi Life,3DS,2013,Simulation,Nintendo,0.99,2.23,1.91,0.25,5.39,71,52,7.6,156
Dr. Mario,G,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34,68,26,7,162
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.75,1.21,1.87,0.51,5.34,83,83,7.2,2506
Pokemon Pinball,G,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,68,26,7,162
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94,22,8.9,792
Battlefield 1,PS4,2016,Shooter,Electronic Arts,1.45,2.81,0.23,0.81,5.3,89,33,8.4,896
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.4,1.28,0.32,5.29,84,70,8.1,734
Assassins Creed III,X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84,61,6.8,1204
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85,45,6.6,404
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.24,1.55,0.01,0.48,5.28,81,53,5.4,900
Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,68,26,7,162
Assassins Creed II,X360,2009,Action,Ubisoft,3.12,1.55,0.08,0.52,5.27,90,82,8.8,1320
Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,85,13,7,162
Madden NFL 2004,PS2,2003,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,94,29,8.5,140
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89,63,8.8,249
Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,68,26,7,162
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85,72,8.6,149
Super Mario Land 3: Wario Land,G,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,68,26,7,162
FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.58,5.17,90,48,6.1,404
Diablo III,PC,2012,Role-Playing,Activision,2.45,2.17,0,0.54,5.17,88,86,4,9643
Donkey Kong Country 2: Diddys Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,68,26,7,162
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68,30,7.6,100
Kirbys Dream Land,G,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,68,26,7,162
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0,0.2,5.12,68,26,7,162
Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12,92,69,8.5,113
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80,88,6.5,608
Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1.63,2.45,0.44,0.57,5.09,68,26,7,162
Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09,84,76,7.5,671
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,90,57,8,418
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89,51,8,233
Super Mario Bros.,G,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,68,26,7,162
The Last of Us,PS4,2014,Action,Sony Computer Entertainment,2.04,2.12,0.07,0.83,5.06,68,26,7,162
Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91,8,9,268
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,1.99,0.16,1.19,5.03,86,50,8,152
Tony Hawks Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92,18,9.2,69
Warzone 2100,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0,0.33,5.01,68,26,7,162
Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5,68,26,7,162
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,82,24,8.2,47
Links Crossbow Training,Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,68,34,7.1,47
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,4.94,93,84,8.5,1658
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1.83,1.19,1.54,0.37,4.93,68,26,7,162
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2.63,1.1,0.82,0.38,4.93,68,26,7,162
Uncharted: Drakes Fortune,PS3,2007,Action,Sony Computer Entertainment,2.32,1.72,0.12,0.77,4.92,88,66,8.1,2332
Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88,29,8,121
Diddy Kong Racing,N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,68,26,7,162
Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0,0,4.87,0,4.87,68,26,7,162
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.58,1.69,0,0.59,4.85,93,82,8.2,3057
Dr. Mario,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,68,26,7,162
Assassins Creed,PS3,2007,Adventure,Ubisoft,1.91,2,0.09,0.82,4.82,81,40,7.3,777
God of War III,PS3,2010,Action,Sony Computer Entertainment,2.74,1.34,0.12,0.61,4.8,92,101,8.7,2647
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2.13,1.79,0.09,0.79,4.8,86,78,8.1,1289
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88,20,9,239
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.83,1.48,0,0.45,4.76,80,9,5.4,46
Driver 2,PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73,62,14,7.7,93
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94,87,8.7,1477
The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,1.73,2.19,0,0.79,4.7,68,26,7,162
Tony Hawks Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,98,19,7.7,301
