Name,year,Esrp,Genre,rate,vote,country,company,Sales
Persona 4 Golden,2012,Mature,Fantasy,9.3,1000,Japan,Atlus,0.07
Zeruda no densetsu: Toki no okarina 3D,2011,Everyone1Adults Only+,Family,9.3,1000,Japan,Grezzo,0.06
Kingdom Hearts II: Final Mix+,2007,Not Rated,Family,9.3,1000,Japan,Square Enix Company,0.04
Wanda to kyozô,2005,Teen,Drama,9.3,4000,Japan,Sony Computer Entertainment,0.01
Kingdom Hearts II,2005,Everyone1Adults Only+,Family,9.3,7000,Japan,Buena Vista Games,0.03
Zeruda no densetsu: Kamigami no toraifôsu,1991,Everyone,Fantasy,9.3,3000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),6.72
The Secret of Monkey Island,1990,Everyone,Fantasy,9.3,3000,United States,Lucasfilm Games,5.64
Monkey Island 2: LeChuck's Revenge,1991,Not Rated,Fantasy,9.3,2000,United States,LucasArts Entertainment Company,3.58
Ghost of Tsushima,2020,Mature,Drama,9.2,8000,United States,Sucker Punch Productions,2.89
Spider-Man,2018,Teen,Fantasy,9.2,20000,United States,Insomniac Games,2.37
Batman: Return to Arkham,2016,Teen,Crime,9.2,1000,United Kingdom,Rocksteady Studios,1.69
Detroit: Become Human,2018,Mature,Drama,9.2,17000,France,Quantic Dream,1.35
Bloodborne,2015,Mature,Fantasy,9.2,5000,Japan,From Software,0.87
The Walking Dead: The Game - Season 1,2012,Mature,Sci-Fi,9.2,13000,United States,Telltale Games,0.68
It Takes Two,2021,Teen,Drama,9.2,2000,Sweden,Hazelight Studios,0.57
Persona 4,2008,Mature,Fantasy,9.2,1000,Japan,Atlus,0.57
Batman: Arkham Asylum,2009,Teen,Crime,9.2,27000,United Kingdom,DC Comics,0.52
Horizon: Forbidden West,2022,Teen,Mystery,9.2,2000,Netherlands,Guerrilla Games,0.51
God of War II,2007,Mature,Fantasy,9.2,9000,United States,SCEA Santa Monica Studios,0.44
Biohazard 4,2005,Mature,Fantasy,9.2,13000,Japan,Armature Studio,0.43
Mafia: The City of Lost Heaven,2002,Mature,Drama,9.2,5000,Czech Republic,Illusion Softworks,0.42
Kingdom Hearts,2002,Everyone,Family,9.2,7000,Japan,Disney Interactive Japan,0.4
Grand Theft Auto: Vice City,2002,Mature,Drama,9.2,26000,United Kingdom,Rockstar North,0.4
Max Payne,2001,Mature,Drama,9.2,15000,Finland,Remedy Entertainment,0.39
Deus Ex,2000,Mature,Drama,9.2,3000,United States,Eidos Interactive,0.38
Akumajo Dracula X: Gekka no Yasokyoku,1997,Teen,Fantasy,9.2,1000,Japan,Konami Computer Entertainment,0.37
Super Mario Bros. 3,1988,Not Rated,Family,9.2,5000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),0.36
Half-Life,1998,Mature,Thriller,9.2,10000,United States,Valve,0.34
Super Mario World,1990,Everyone,Family,9.2,4000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),0.33
StarCraft,1998,Teen,Sci-Fi,9.2,5000,United States,Blizzard Entertainment,0.32
Grim Fandango,1998,Teen,Crime,9.2,3000,United States,LucasArts Entertainment Company,0.31
Fallout: A Post-Nuclear Role-Playing Game,1997,Mature,Sci-Fi,9.2,3000,United States,Interplay Entertainment,0.3
Resident Evil 2,2019,Mature,Sci-Fi,9.1,6000,Japan,Capcom Company,0.28
Super Mario Odyssey,2017,Everyone1Adults Only+,Adventure,9.1,4000,Japan,Nintendo Entertainment Planning & Development (EPD),0.28
Dark Souls III,2016,Mature,Fantasy,9.1,4000,Japan,From Software,0.25
Dark Souls,2011,Mature,Fantasy,9.1,4000,Japan,From Software,0.23
Mass Effect 3,2012,Mature,Sci-Fi,9.1,16000,Canada,Bioware,0.23
BioShock Infinite,2013,Mature,Drama,9.1,20000,United States,Irrational Games,0.22
Dragon Age: Origins,2009,Mature,Fantasy,9.1,7000,Canada,Bioware,0.22
Assassin's Creed II,2009,Mature,Sci-Fi,9.1,23000,Canada,Ubisoft Montreal,0.19
God of War III,2010,Mature,Fantasy,9.1,10000,United States,SCEA Santa Monica Studios,0.18
Portal,2007,Teen,Sci-Fi,9.1,13000,United States,Valve,0.18
BioShock,2007,Mature,Horror,9.1,20000,United States,2K Games,0.18
Mass Effect,2007,Mature,Drama,9.1,18000,United States,Bioware,0.18
Fallout 3,2008,Mature,Sci-Fi,9.1,19000,United States,Bethesda Game Studios,0.17
Lego Star Wars: The Skywalker Saga,2022,Everyone1Adults Only+,Comedy,9.1,1000,United Kingdom,The LEGO Group,0.17
Half-Life 2: Episode Two,2007,Mature,Sci-Fi,9.1,6000,United States,Valve,0.16
Vampire: The Masquerade - Bloodlines,2004,Mature,Fantasy,9.1,1000,United States,Troika Games,0.16
God of War,2005,Mature,Fantasy,9.1,10000,United States,SCEA Santa Monica Studios,0.15
Max Payne 2: The Fall of Max Payne,2003,Mature,Drama,9.1,11000,Finland,Remedy Entertainment,0.15
Metal Gear: Ghost Babel,2000,Everyone,Sci-Fi,9.1,1000,Japan,Konami Computer Entertainment,0.15
Biohazard,2002,Mature,Mystery,9.1,4000,Japan,Capcom Company,0.15
Fainaru fantajî X,2001,Teen,Romance,9.1,7000,Japan,Square Company,0.14
Shenmue,1999,Teen,Crime,9.1,1000,Japan,SEGA/AM2 Company,0.14
Super Metroid,1994,Everyone,Mystery,9.1,2000,Japan,Nintendo,0.14
GoldenEye 007,1997,Teen,Thriller,9.1,5000,United Kingdom,Rare,0.14
Super Mario 64,1996,Adults Only,Comedy,9.1,6000,Japan,Nintendo,0.14
Biohazard 2,1998,Mature,Sci-Fi,9.1,5000,Japan,Capcom Company,0.14
The Curse of Monkey Island,1997,Adults Only,Fantasy,9.1,2000,United States,LucasArts Entertainment Company,0.13
Ori and the Will of the Wisps,2020,Everyone,Fantasy,9.0,1000,Austria,Moon Studios,0.13
Final Fantasy VII Remake,2020,Teen,Fantasy,9.0,3000,Japan,Square Enix Company,0.11
Horizon Zero Dawn,2017,Teen,Mystery,9.0,14000,Netherlands,Guerrilla Games,0.11
Batman: Arkham Knight,2015,Mature,Crime,9.0,19000,United Kingdom,DC Entertainment,0.1
Zeruda no densetsu: Kaze no takuto HD,2013,Everyone1Adults Only+,Fantasy,9.0,1000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),0.1
Uncharted 3: Drake's Deception,2011,Teen,Fantasy,9.0,22000,United States,Naughty Dog,0.1
Ratchet & Clank: Rift Apart,2021,Everyone1Adults Only+,Comedy,9.0,1000,United States,Insomniac Games,0.09
Call of Duty 4: Modern Warfare,2007,Mature,Thriller,9.0,22000,United States,Infinity Ward,0.08
Super Mario Galaxy,2007,Everyone,Family,9.0,5000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),0.08
The Elder Scrolls IV: Oblivion,2006,Teen,Fantasy,9.0,12000,United States,Bethesda Game Studios,0.08
Zeruda no densetsu Towairaito purinsesu,2006,Teen,Fantasy,9.0,5000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),0.07
Paper Mario RPG,2004,Everyone,Fantasy,9.0,1000,Japan,Intelligent Systems,0.07
Heroes of Might and Magic III: The Restoration of Erathia,1999,Not Rated,Fantasy,9.0,1000,United States,New World Computing,0.07
Metal Gear Solid 2: Substance,2002,Mature,Drama,9.0,2000,Japan,Konami Computer Entertainment,0.07
Zeruda no densetsu: Kaze no takuto,2002,Everyone,Fantasy,9.0,3000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),0.07
StarCraft: Brood War,1998,Teen,Sci-Fi,9.0,2000,United States,Blizzard Entertainment,0.07
Dai-Rantô Smash Brothers Deluxe,2001,Teen,Sci-Fi,9.0,3000,Japan,GameCube,0.07
Diablo II: Lord of Destruction,2001,Mature,Fantasy,9.0,2000,United States,Blizzard Entertainment,0.07
Baldur's Gate II: Throne of Bhaal,2001,Not Rated,Fantasy,9.0,1000,Canada,Bioware,0.07
Zeruda no densetsu: Mujura no kamen,2000,Everyone,Family,9.0,3000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),0.07
Diablo II,2000,Mature,Fantasy,9.0,4000,United States,Blizzard Entertainment,0.07
Metal Gear Solid 2: Sons of Liberty,2001,Mature,Drama,9.0,8000,Japan,Konami Computer Entertainment,0.07
Indiana Jones and the Fate of Atlantis,1992,Not Rated,Fantasy,9.0,1000,United States,LucasArts Entertainment Company,0.07
Sûpâ Mario korekushon,1993,Not Rated,Family,9.0,1000,Japan,Nintendo,0.06
The Longest Journey,1999,Mature,Fantasy,9.0,1000,Norway,Funcom,0.06
Final Fantasy VI,1994,Teen,Fantasy,9.0,3000,Japan,Square Company,0.06
Day of the Tentacle,1993,Not Rated,Sci-Fi,9.0,1000,United States,LucasArts Entertainment Company,0.06
Silent Hill,1999,Mature,Mystery,9.0,5000,Japan,Konami Computer Entertainment,0.06
Hades,2018,Teen,Fantasy,8.9,1000,United States,Supergiant Games,0.06
Super Smash Bros. Ultimate,2018,Everyone1Adults Only+,Fantasy,8.9,3000,Japan,Bandai Namco Entertainment,0.05
Life Is Strange,2015,Mature,Sci-Fi,8.9,12000,France,Dontnod Entertainment,0.05
Halo: The Master Chief Collection,2014,Mature,Sci-Fi,8.9,2000,United States,343 Industries,0.05
Ryû ga gotoku Zero: Chikai no basho,2015,Mature,Drama,8.9,1000,Japan,Ryu Ga Gotoku Studio,0.05
Tales from the Borderlands: A Telltale Games Series,2014,Mature,Sci-Fi,8.9,3000,United States,Gearbox Software,0.05
The Last of Us: Left Behind,2014,Mature,Drama,8.9,9000,United States,Naughty Dog,0.05
The Wolf Among Us,2013,Mature,Drama,8.9,7000,United States,DC Entertainment,0.05
Far Cry 3,2012,Mature,Adventure,8.9,19000,Canada,Ubisoft Massive Studio,0.04
South Park: The Stick of Truth,2014,Mature,Comedy,8.9,4000,United States,345 Games,0.04
Fallout: New Vegas,2010,Mature,Sci-Fi,8.9,12000,United States,Obsidian Entertainment,0.04
Super Mario Galaxy 2,2010,Everyone,Family,8.9,2000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),0.04
Grand Theft Auto IV,2008,Mature,Drama,8.9,34000,United Kingdom,Rockstar North,0.02
The Warriors,2005,Mature,Thriller,8.9,1000,Canada,Rockstar Toronto,0.02
Star Wars: Knights of the Old Republic II - The Sith Lords,2004,Teen,Drama,8.9,5000,United States,Obsidian Entertainment,0.02
Warcraft III: The Frozen Throne,2003,Not Rated,Fantasy,8.9,3000,United States,Unknown,0.01
Metal Gear Solid: The Twin Snakes,2004,Mature,Drama,8.9,1000,Japan,Silicon Knights,0.01
Metroid Prime,2002,Teen,Mystery,8.9,2000,United States,GameCube,0.01
System Shock 2,1999,Mature,Horror,8.9,1000,United States,Irrational Games,0.01
Warcraft III: Reign of Chaos,2002,Not Rated,Fantasy,8.9,3000,United States,Blizzard Entertainment,0.01
Poketto monsutâ aka,1996,Everyone,Family,8.9,2000,Japan,Creatures,0.01
Broken Sword: The Shadow of the Templars,1996,Not Rated,Romance,8.9,1000,United Kingdom,Revolution Software,0.01
Mother 2: Gîgu no gyakushuu,1994,Teen,Fantasy,8.9,1000,Japan,Ape,0.01
Bio Hazard,1996,Mature,Mystery,8.9,5000,Japan,Capcom Company,0.15
Super Mario Bros.,1985,Not Rated,Fantasy,8.9,6000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),0.11
Baldur's Gate,1998,Teen,Fantasy,8.9,1000,United States,Bioware,0.07
Blade Runner,1997,Teen,Thriller,8.9,1000,United States,Westwood Studios Inc.,0.06
Sekiro: Shadows Die Twice,2019,Mature,Fantasy,8.8,3000,Japan,From Software,0.04
Hollow Knight,2017,Everyone1Adults Only+,Fantasy,8.8,2000,Australia,Team Cherry,0.03
Horizon Zero Dawn: The Frozen Wilds,2017,Teen,Mystery,8.8,1000,Netherlands,Guerrilla Games,0.03
The Walking Dead: The Final Season,2018,Mature,Sci-Fi,8.8,2000,United States,Telltale Games,0.03
Death Stranding,2019,Mature,Drama,8.8,8000,Japan,Kojima Productions,0.03
Undertale,2015,Everyone1Adults Only+,Drama,8.8,3000,United States,tobyfox,0.02
NieR: Automata,2017,Mature,Drama,8.8,2000,Japan,Platinum Games,0.02
Inside,2016,Mature,Mystery,8.8,3000,Denmark,Playdead Studios,0.02
Zeruda no densetsu: Kamigami no toraifôsu 2,2013,Everyone,Fantasy,8.8,1000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),0.02
Until Dawn,2015,Mature,Thriller,8.8,14000,United Kingdom,Sony Computer Entertainment America,0.02
Metal Gear Solid V: The Phantom Pain,2015,Mature,Drama,8.8,7000,Japan,Kojima Productions,0.02
Wiedzmin 2: Zabójcy królów,2011,Mature,Drama,8.8,5000,Poland,CD Projekt RED,0.02
Tomb Raider,2013,Mature,Fantasy,8.8,18000,United States,Crystal Dynamics,0.02
Dead Space 2,2011,Mature,Sci-Fi,8.8,6000,United States,Visceral Games,0.02
Heavy Rain,2010,Mature,Mystery,8.8,13000,France,Quantic Dream,0.01
Marvel's Guardians of the Galaxy,2021,Teen,Comedy,8.8,3000,Canada,Eidos Montreal,0.01
Call of Duty: Modern Warfare 2,2009,Mature,Thriller,8.8,23000,United States,Activision Blizzard,0.01
Kingudamu hâtsu: Bâsu bai surîpu,2010,Everyone1Adults Only+,Family,8.8,1000,Japan,Disney Interactive Japan,0.01
Dead Space,2008,Mature,Mystery,8.8,9000,United States,Electronic Arts (EA) Redwood Shores,0.01
World of Warcraft: Wrath of the Lich King,2008,Teen,Fantasy,8.8,2000,United States,Blizzard Entertainment,0.01
Medieval II: Total War,2006,Not Rated,War,8.8,1000,United States,Creative Assembly,0.01
StarCraft II: Wings of Liberty,2010,Teen,Sci-Fi,8.8,3000,United States,Blizzard Entertainment,0.01
Okami,2006,Teen,Fantasy,8.8,1000,Japan,Clover Studio Company,0.01
Half-Life 2: Episode One,2006,Mature,Sci-Fi,8.8,5000,United States,Valve,0.01
Halo 3,2007,Mature,Sci-Fi,8.8,12000,United States,Bungie Software,0.01
Star Wars: Battlefront II,2005,Teen,Sci-Fi,8.8,6000,United States,LucasArts Entertainment Company,0.01
Ratchet & Clank: Up Your Arsenal,2004,Teen,Comedy,8.8,1000,United States,Insomniac Games,0.01
Hitman: Blood Money,2006,Mature,Mystery,8.8,5000,Denmark,Eidos Interactive,0.02
Age of Empires II: The Age of Kings,1999,Teen,History,8.8,3000,United States,Ensemble Studios,0.02
Sly 2: Band of Thieves,2004,Everyone,Comedy,8.8,1000,United States,Sucker Punch Productions,0.01
The Elder Scrolls III: Morrowind,2002,Teen,Fantasy,8.8,3000,United States,Bethesda Game Studios,2.31
Poketto monsutâ kin,1999,Everyone,Fantasy,8.8,1000,Japan,Creatures,1.8
Halo: Combat Evolved,2001,Mature,Mystery,8.8,11000,United States,Gearbox Software,1.73
Conker's Bad Fur Day,2001,Mature,Comedy,8.8,1000,United Kingdom,Nintendo,1.17
Fainaru fantajî IX,2000,Teen,Fantasy,8.8,5000,Japan,Square Company,0.43
Poketto monsutâ gin,1999,Everyone,Fantasy,8.8,1000,Japan,Creatures,0.4
Crash Bandicoot: Warped,1998,Everyone,Comedy,8.8,2000,United States,Naughty Dog,0.09
Mario Kart 8 Deluxe,2017,Everyone,Sport,8.7,2000,Japan,Nintendo Entertainment Planning & Development (EPD),1.05
Resident Evil HD Remaster,2015,Mature,Mystery,8.7,1000,Japan,Capcom Company,0.84
Hellblade: Senua's Sacrifice,2017,Mature,Drama,8.7,3000,United Kingdom,Ninja Theory,0.74
Ori and the Blind Forest,2015,Everyone,Fantasy,8.7,2000,Austria,Moon Studios,0.71
What Remains of Edith Finch,2017,Teen,Mystery,8.7,3000,United States,Giant Sparrow,0.71
BioShock Infinite: Burial at Sea - Episode One,2013,Mature,Mystery,8.7,2000,United States,Irrational Games,0.71
Alien: Isolation,2014,Mature,Thriller,8.7,5000,United Kingdom,Creative Assembly,0.62
The Walking Dead: The Game - Season 2,2013,Mature,Thriller,8.7,7000,United States,Telltale Games,0.62
Assassin's Creed IV: Black Flag,2013,Mature,History,8.7,17000,Canada,Ubisoft Annecy,0.56
Borderlands 2,2012,Mature,Comedy,8.7,6000,United States,Gearbox Software,0.55
StarCraft II: Heart of the Swarm,2013,Not Rated,Sci-Fi,8.7,1000,United States,Blizzard Entertainment,0.49
L.A. Noire,2011,Mature,Drama,8.7,15000,Australia,Team Bondi,0.41
Assassin's Creed: Brotherhood,2010,Mature,History,8.7,15000,Canada,Ubisoft Annecy,0.4
Demon's Souls,2009,Mature,Fantasy,8.7,1000,Japan,From Software,0.35
Gears of War 2,2008,Mature,War,8.7,5000,United States,Epic Games,0.28
Little Nightmares II,2021,Teen,Horror,8.7,1000,Sweden,Tarsier Studios,0.28
Stray,2022,Everyone1Adults Only+,Sci-Fi,8.7,1000,France,BlueTwelve Studio,0.27
Resident Evil Village,2021,Mature,Drama,8.7,4000,Japan,Capcom Company,0.26
Lego Star Wars: The Complete Saga,2007,Everyone1Adults Only+,Comedy,8.7,4000,United Kingdom,LEGO,0.25
Dairantô Sumasshu Burazâzu ekkusu,2008,Teen,Fantasy,8.7,4000,Japan,Sora,0.22
Poketto Monsutâ Emerarudo,2004,Everyone,Fantasy,8.7,1000,Japan,Unknown,0.22
Need for Speed: Most Wanted,2005,Teen,Sport,8.7,6000,Canada,Electronic Arts (EA),0.2
Poketto monsutâ faiareddo,2004,Everyone,Fantasy,8.7,1000,Japan,Creatures,0.19
The Lord of the Rings: The Battle for Middle-Earth,2004,Not Rated,Fantasy,8.7,2000,United States,Electronic Arts (EA),0.18
Ico,2001,Teen,Fantasy,8.7,1000,Japan,Sony Computer Entertainment,0.17
Psychonauts,2005,Teen,Comedy,8.7,1000,United States,Double Fine Productions Inc.,0.17
Rome: Total War,2004,Teen,History,8.7,1000,United Kingdom,Creative Assembly,0.15
Halo 2,2004,Mature,Sci-Fi,8.7,9000,United States,Bungie Software,0.15
Silent Hill 3,2003,Mature,Mystery,8.7,3000,Japan,Konami Computer Entertainment,0.15
Grand Theft Auto III,2001,Mature,Drama,8.7,16000,United Kingdom,Rockstar North,0.14
Super Mario RPG: Legend of the Seven Stars,1996,Everyone,Fantasy,8.7,1000,Japan,Nintendo,0.14
Perfect Dark,2000,Not Rated,Sci-Fi,8.7,1000,United Kingdom,Rare,0.14
Alice,2000,Mature,Fantasy,8.7,1000,United States,Electronic Arts (EA),0.14
Mario Kart 64,1996,Adults Only,Fantasy,8.7,3000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),0.14
Poketto monsutâ Pikachû,1998,Everyone,Fantasy,8.7,1000,Japan,Creatures,0.13
Poketto monsutâ ao,1996,Everyone,Family,8.7,1000,Japan,Creatures,0.13
Fainaru fantajî VIII,1999,Teen,Fantasy,8.7,5000,Japan,Square Company,0.13
Sam and Max Hit the Road,1993,Teen,Mystery,8.7,1000,United States,LucasArts Entertainment Company,0.13
The Hyrule fantasy: Zeruda no densetsu,1986,Everyone,Fantasy,8.7,2000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),0.12
Forza Horizon 4,2018,Everyone,Crime,8.6,1000,United Kingdom,Playground Games,0.11
Doom Eternal,2020,Mature,Fantasy,8.6,2000,United States,id Software,0.11
Spyro Reignited Trilogy,2018,Everyone1Adults Only+,Adventure,8.6,1000,United States,Squeeze Studio Animation,0.11
Celeste,2018,Everyone,Comedy,8.6,1000,United States,Matt Makes Games,0.11
Injustice 2,2017,Teen,Fantasy,8.6,3000,United States,DC Entertainment,0.06
Cuphead,2017,Everyone,Adventure,8.6,2000,Canada,Studio MDHR,0.05
Fallout 4,2015,Mature,Sci-Fi,8.6,13000,United States,Bethesda Game Studios,0.05
Dragon Age: Inquisition,2014,Mature,Fantasy,8.6,4000,Canada,Bioware,0.03
Resident Evil 7: Biohazard,2017,Mature,Mystery,8.6,7000,Japan,Capcom Company,0.03
Mario Kart 8,2014,Everyone,Fantasy,8.6,2000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),0.02
Journey,2012,Everyone,Fantasy,8.6,3000,United States,ThatGameCompany,0.04
Halo: Reach,2010,Mature,Sci-Fi,8.6,6000,United States,Bungie Software,0.01
Grand Theft Auto IV: The Ballad of Gay Tony,2009,Mature,Drama,8.6,4000,United Kingdom,Rockstar North,14.77
Max Payne 3,2012,Mature,Drama,8.6,10000,Canada,Rockstar Vancouver,13.79
Deus Ex: Human Revolution,2011,Mature,Drama,8.6,5000,Canada,Eidos Interactive,10.28
Bully,2006,Teen,Drama,8.6,5000,Canada,Rockstar Vancouver,3.83
The Lord of the Rings: The Battle for Middle-Earth II,2006,Not Rated,Fantasy,8.6,1000,United States,Electronic Arts (EA),3.62
Civilization IV,2005,Everyone1Adults Only+,History,8.6,1000,United States,2K Games,3.46
Prince of Persia: Warrior Within,2004,Mature,Fantasy,8.6,3000,Canada,Ubisoft Montreal,3.27
Splinter Cell: Chaos Theory,2005,Mature,Thriller,8.6,2000,Canada,Ubisoft Montreal,2.78
The Chronicles of Riddick: Escape from Butcher Bay,2004,Mature,Sci-Fi,8.6,3000,United States,Starbreeze Studios,2.57
Call of Duty,2003,Teen,War,8.6,6000,United States,Activision,2.5
Dreamfall: The Longest Journey,2006,Mature,Fantasy,8.6,1000,Norway,Funcom,2.24
Jak and Daxter: The Precursor Legacy,2001,Everyone1Adults Only+,Comedy,8.6,1000,United States,Naughty Dog,2.11
Star Wars: Jedi Knight II - Jedi Outcast,2002,Teen,Fantasy,8.6,2000,United States,LucasArts Entertainment Company,2.08
Zeruda no densetsu: Yume o miru shima,1993,Everyone,Fantasy,8.6,1000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),1.99
Doom,1993,Mature,Sci-Fi,8.6,4000,United States,David A. Palmer Productions,1.93
Crash Team Racing,1999,Everyone,Family,8.6,1000,United States,Naughty Dog,1.91
Command & Conquer: Red Alert 2,2000,Teen,War,8.6,3000,United States,Westwood Studios Inc.,1.83
Donkey Kong Country 2: Diddy's Kong Quest,1995,Adults Only,Adventure,8.6,1000,United Kingdom,Rare,1.8
Donkey Kong Country,1994,Mature,Comedy,8.6,2000,United Kingdom,Rare,1.76
Resident Evil 3: Nemesis,1999,Mature,Sci-Fi,8.6,4000,Japan,Capcom Company,1.72
Full Throttle,1995,Not Rated,Crime,8.6,1000,United States,LucasArts Entertainment Company,1.71
Devil May Cry 5,2019,Mature,Fantasy,8.5,2000,Japan,Capcom Company,1.55
Assassin's Creed: Odyssey,2018,Mature,Fantasy,8.5,6000,Canada,Ubisoft Quebec,1.55
Shadow of the Colossus,2018,Teen,Drama,8.5,2000,Japan,Bluepoint Games,1.5
Assassin's Creed: Origins,2017,Mature,Fantasy,8.5,7000,Canada,Ubisoft Montreal,1.4
Uncharted: The Lost Legacy,2017,Teen,Mystery,8.5,7000,United States,Naughty Dog,1.34
The Last of Us: Part II,2020,Mature,Drama,8.5,30000,United States,Naughty Dog,1.33
Crash Bandicoot N. Sane Trilogy,2017,Everyone1Adults Only+,Adventure,8.5,1000,United States,Vicarious Visions,1.33
Star Wars Jedi: Fallen Order,2019,Teen,Drama,8.5,11000,United States,Respawn Entertainment,1.32
Stardew Valley,2016,Teen,Fantasy,8.5,1000,United States,ConcernedApe,1.31
Rise of the Tomb Raider,2015,Mature,Fantasy,8.5,9000,United States,Crystal Dynamics,1.18
Titanfall 2,2016,Not Rated,Sci-Fi,8.5,3000,United States,Respawn Entertainment,1.17
Soma,2015,Teen,Sci-Fi,8.5,1000,Sweden,Frictional Games,1.14
Super Mario 3D World,2013,Everyone,Family,8.5,2000,Japan,Nintendo,1.12
Dairantou sumasshu burazâzu for Wii U,2014,Everyone1Adults Only+,Fantasy,8.5,1000,Japan,Bandai Namco Games,1.12
Minecraft,2009,Everyone1Adults Only+,Family,8.5,11000,Sweden,4J studios,1.07
Civilization V,2010,Everyone1Adults Only+,History,8.5,1000,United States,Firaxis Games Inc.,1.05
Doom,2016,Mature,Sci-Fi,8.5,5000,United States,id Software,1.02
God of War: Ghost of Sparta,2010,Mature,Fantasy,8.5,2000,United States,Ready at Dawn Studios,0.99
Gears of War 3,2011,Mature,War,8.5,4000,United States,Epic Games,0.96
