Name,year,esrp,genre,rate,vote,country,company
Grand Theft Auto: Vice City,2002,20022002MM,ActionCrimeDrama,9.2,26K,United Kingdom,Rockstar North
Max Payne,2001,20012001MM,ActionCrimeDrama,9.2,15K,Finland,Remedy Entertainment
Deus Ex,2000,20002000MM,ActionAdventureDrama,9.2,3.2K,United States,Eidos Interactive
Akumajo Dracula X: Gekka no Yasokyoku,1997,19971997TT,ActionAdventureFantasy,9.2,1.6K,Japan,Konami Computer Entertainment
Super Mario Bros. 3,1988,19881988,ActionAdventureFamily,9.2,5.2K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
Half-Life,1998,19981998MM,ActionSci-FiThriller,9.2,10K,United States,Valve
Super Mario World,1990,19901990EE,ActionAdventureFamily,9.2,4.8K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
StarCraft,1998,19981998TT,ActionAdventureSci-Fi,9.2,5.2K,United States,Blizzard Entertainment
Grim Fandango,1998,19981998TT,AdventureComedyCrime,9.2,3.5K,United States,LucasArts Entertainment Company
Fallout: A Post-Nuclear Role-Playing Game,1997,19971997MM,ActionAdventureSci-Fi,9.2,3.8K,United States,Interplay Entertainment
Growlanser VI: Precarious World,2007,20072007,Adventure,9.1,18,Japan,Career Soft
Astro Bot: Rescue Mission,2018,20182018E10+E10+,Sci-Fi,9.1,195,Japan,SIE Japan Studio
Resident Evil 2,2019,20192019MM,ActionHorrorSci-Fi,9.1,6.9K,Japan,Capcom Company
Super Mario Odyssey,2017,20172017E10+E10+,AnimationActionAdventure,9.1,4K,Japan,Nintendo Entertainment Planning & Development (EPD)
Dark Souls III,2016,20162016MM,ActionAdventureFantasy,9.1,4.3K,Japan,From Software
Mob of the Dead,2013,20132013,ActionHorrorThriller,9.1,852,United States,Activision
A-Cinema,2022,20222022,Short,9.1,12,Italy,RedMagicBlue
Dark Souls,2011,20112011MM,ActionAdventureFantasy,9.1,4.7K,Japan,From Software
Mass Effect 3,2012,20122012MM,ActionAdventureSci-Fi,9.1,16K,Canada,Bioware
BioShock Infinite,2013,20132013MM,ActionAdventureDrama,9.1,20K,United States,Irrational Games
Dragon Age: Origins,2009,20092009MM,ActionAdventureFantasy,9.1,7.9K,Canada,Bioware
Postal: Brain Damaged,2022,20222022MM,ActionAdventureComedy,9.1,7,United States,CreativeForge Games
Soul Knight,2017,20172017E10+E10+,AdventureActionFantasy,9.1,11,United States,ChillyRoom
Toraianguru sutoratejî,2022,20222022TT,ActionAdventureFantasy,9.1,54,Japan,Artdink
Dark Souls: Artorias of the Abyss,2012,20122012,ActionAdventureFantasy,9.1,350,Japan,From Software
Bioshock: The Collection,2016,20162016MM,ActionAdventureHorror,9.1,409,United States,
Metal Gear Solid: HD Collection,2011,20112011,ActionWar,9.1,66,United States,Bluepoint Games
Assassin's Creed II,2009,20092009MM,ActionAdventureSci-Fi,9.1,23K,Canada,Ubisoft Montreal
God of War III,2010,20102010MM,ActionAdventureFantasy,9.1,10K,United States,SCEA Santa Monica Studios
Portal,2007,20072007TT,AdventureComedySci-Fi,9.1,13K,United States,Valve
Disco Elysium,2019,20192019MM,ComedyCrimeDrama,9.1,731,Estonia,Za/Um
The Walking Dead: The Telltale Definitive Series,2019,20192019,DramaHorrorThriller,9.1,475,United States,Skybound Entertainment
BioShock,2007,20072007MM,ActionAdventureHorror,9.1,20K,United States,2K Games
Mass Effect,2007,20072007MM,ActionAdventureDrama,9.1,18K,United States,Bioware
Fallout 3,2008,20082008MM,ActionAdventureSci-Fi,9.1,19K,United States,Bethesda Game Studios
Lego Star Wars: The Skywalker Saga,2022,20222022E10+E10+,ActionAdventureComedy,9.1,1.6K,United Kingdom,The LEGO Group
Gothic II,2002,20022002MM,ActionAdventureFantasy,9.1,764,Germany,Piranha Bytes
Half-Life 2: Episode Two,2007,20072007MM,ActionAdventureSci-Fi,9.1,6.2K,United States,Valve
Vampire: The Masquerade - Bloodlines,2004,20042004MM,ActionDramaFantasy,9.1,1.8K,United States,Troika Games
God of War,2005,20052005MM,ActionAdventureFantasy,9.1,10K,United States,SCEA Santa Monica Studios
Max Payne 2: The Fall of Max Payne,2003,20032003MM,ActionCrimeDrama,9.1,11K,Finland,Remedy Entertainment
Metal Gear: Ghost Babel,2000,20002000EE,ActionAdventureSci-Fi,9.1,1.2K,Japan,Konami Computer Entertainment
Biohazard,2002,20022002MM,ActionHorrorMystery,9.1,4.2K,Japan,Capcom Company
UFO - Enemy Unknown,1994,19941994,ActionSci-FiThriller,9.1,384,United Kingdom,MicroProse Software Inc.
Master of Orion II: Battle at Antares,1996,19961996,Sci-Fi,9.1,142,United States,MicroProse Software Inc.
Metal Gear Solid: Integral,1999,19991999,ActionAdventureDrama,9.1,359,Japan,Konami Computer Entertainment
Fainaru fantajî X,2001,20012001TT,AdventureFantasyRomance,9.1,7.8K,Japan,Square Company
Shenmue,1999,19991999TT,ActionAdventureCrime,9.1,1.2K,Japan,SEGA/AM2 Company
Super Metroid,1994,19941994EE,ActionAdventureMystery,9.1,2.1K,Japan,Nintendo
GoldenEye 007,1997,19971997TT,ActionAdventureThriller,9.1,5.6K,United Kingdom,Rare
Super Mario 64,1996,19961996K-AK-A,ActionAdventureComedy,9.1,6.1K,Japan,Nintendo
Biohazard 2,1998,19981998MM10m,ActionHorrorSci-Fi,9.1,5.9K,Japan,Capcom Company
The Curse of Monkey Island,1997,19971997K-AK-A,AdventureComedyFantasy,9.1,2.7K,United States,LucasArts Entertainment Company
Gabriel Knight: Sins of the Fathers,1993,19931993TT,AdventureDramaHorror,9.1,679,United States,Sierra Entertainment
Ori and the Will of the Wisps,2020,20202020EE,AdventureFantasy,9.0,1.1K,Austria,Moon Studios
Uma Musume: Pretty Derby,2021,20212021,ActionSport,9.0,5,Japan,Cygames
Ace Academy,2016,2016201610h,Comedy,9.0,5,Canada,PixelFade
Cyber Danganronpa VR: The Class Trial,2016,20162016TT,,9.0,7,Japan,NIS America
Assassin's Creed: The Ezio Collection,2016,20162016MM,ActionAdventureFantasy,9.0,712,United States,
Final Fantasy VII Remake,2020,20202020TT,ActionAdventureFantasy,9.0,3.6K,Japan,Square Enix Company
Fairy Fencer F: Advent Dark Force,2016,20162016TT,ActionAdventureFantasy,9.0,100,Japan,Compile Heart
Deep Sleep,2012,20122012,AdventureHorrorMystery,9.0,15,Poland,
Kingdom Hearts HD 1.5 Remix,2013,20132013E10+E10+,ActionAdventureFamily,9.0,818,Japan,Disney Interactive Japan
Horizon Zero Dawn,2017,20172017TT,ActionAdventureMystery,9.0,14K,Netherlands,Guerrilla Games
Team Umizoomi,2011,20112011,,9.0,6,United States,
Fairy Fencer F,2013,20132013TT,Fantasy,9.0,99,Japan,Compile Heart
Batman: Arkham Knight,2015,20152015MM,ActionAdventureCrime,9.0,19K,United Kingdom,DC Entertainment
Zeruda no densetsu: Kaze no takuto HD,2013,20132013E10+E10+,ActionAdventureFantasy,9.0,1.4K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
Terminator: Resistance Annihilation Line,2021,20212021,Action,9.0,5,United Kingdom,Reef Entertainment
Super Mario World: Super Mario Advance 2,2001,20012001EE,ActionAdventureFantasy,9.0,10,Japan,Nintendo
Final Fantasy X/X-2: HD Remaster,2013,20132013TT,ActionAdventureFantasy,9.0,9,Japan,Square Enix Company
Uncharted 3: Drake's Deception,2011,20112011TT,ActionAdventureFantasy,9.0,22K,United States,Naughty Dog
Achtung Banditen?!,2022,20222022,History,9.0,34,Italy,RedMagicBlue
Zenobureido,2010,20102010TT,ActionAdventureFantasy,9.0,638,Japan,Monolith Soft
Doki Doki Literature Club Plus!,2021,20212021MM,DramaHorrorRomance,9.0,79,United States,Serenity Forge
Halo 2: Anniversary,2014,20142014MM,ActionAdventureSci-Fi,9.0,345,United States,343 Industries
The Great Ace Attorney 2: Resolve,2017,20172017,,9.0,49,Japan,Capcom Company
Granny Smith,2012,20122012EE,ActionAdventureComedy,9.0,7,United States,Mediocre AB
Kimi to Kanojo to Kanojo no Koi,2013,20132013,AdventureHorrorRomance,9.0,10,Japan,
Imscared - A Pixelated Nightmare,2016,20162016,AdventureHorrorThriller,9.0,13,United States,Ivan Zanotti's MyMadnessWorks
Gothic II: Die Nacht des Raben,2003,20032003,ActionAdventureFantasy,9.0,388,Germany,Piranha Bytes
Wallace & Gromit: The Big Fix Up,2020,20202020,AdventureComedyMystery,9.0,13,United Kingdom,Aardman Animations
Hoshi no kâbî: Urutora sûpâ derakkusu,2008,20082008EE,Action,9.0,428,Japan,HAL Laboratory
Ratchet & Clank: Rift Apart,2021,20212021E10+E10+,ActionAdventureComedy,9.0,1.2K,United States,Insomniac Games
Dark Souls Trilogy,2018,20182018MM,ActionAdventureFantasy,9.0,97,Japan,
Persona 3 FES,2007,20072007MM,ActionAdventureFantasy,9.0,722,Japan,Atlus
Boneworks,2019,20192019MM,ActionAdventureSci-Fi,9.0,81,United States,Stress Level Zero
The Stanley Parable: Ultra Deluxe,2022,20222022,AdventureComedyFantasy,9.0,174,United States,Crows Crows Crows
Call of Duty 4: Modern Warfare,2007,20072007MM,ActionThriller,9.0,22K,United States,Infinity Ward
Super Mario Galaxy,2007,20072007EE,ActionAdventureFamily,9.0,5.3K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
Championship Manager 2001/02,2001,20012001,Sport,9.0,192,United Kingdom,Eidos Interactive
Mother 3,2006,20062006TT,AdventureComedyDrama,9.0,458,Japan,Brownie Brown
Little Big Adventure 2,1997,19971997,Adventure,9.0,214,France,Adeline Software
The Elder Scrolls IV: Oblivion,2006,20062006TT,ActionAdventureFantasy,9.0,12K,United States,Bethesda Game Studios
Zeruda no densetsu Towairaito purinsesu,2006,20062006TT,ActionAdventureFantasy,9.0,5K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
Paper Mario RPG,2004,20042004EE,AdventureFantasy,9.0,1.1K,Japan,Intelligent Systems
Heroes of Might and Magic III: The Restoration of Erathia,1999,19991999,ActionAdventureFantasy,9.0,1.2K,United States,New World Computing
Metal Gear Solid 2: Substance,2002,20022002MM,ActionAdventureDrama,9.0,2.1K,Japan,Konami Computer Entertainment
Zeruda no densetsu: Kaze no takuto,2002,20022002EE,ActionAdventureFantasy,9.0,3.3K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
Gensô suikoden II,1998,19981998TT,ActionAdventureDrama,9.0,424,Japan,Konami Computer Entertainment
StarCraft: Brood War,1998,19981998TT,ActionAdventureSci-Fi,9.0,2.3K,United States,Blizzard Entertainment
Dai-Rantô Smash Brothers Deluxe,2001,20012001TT,ActionFantasySci-Fi,9.0,3.2K,Japan,GameCube
Diablo II: Lord of Destruction,2001,20012001MM,ActionAdventureFantasy,9.0,2.6K,United States,Blizzard Entertainment
Shenmue II,2001,20012001TT,ActionAdventureCrime,9.0,855,Japan,SEGA/AM2 Company
Baldur's Gate II: Throne of Bhaal,2001,20012001,ActionAdventureFantasy,9.0,1.2K,Canada,Bioware
Zeruda no densetsu: Mujura no kamen,2000,20002000EE,ActionAdventureFamily,9.0,3.6K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
Diablo II,2000,20002000MM,ActionAdventureFantasy,9.0,4K,United States,Blizzard Entertainment
Metal Gear Solid 2: Sons of Liberty,2001,20012001MM,ActionAdventureDrama,9.0,8.5K,Japan,Konami Computer Entertainment
Indiana Jones and the Fate of Atlantis,1992,19921992,ActionAdventureFantasy,9.0,1.6K,United States,LucasArts Entertainment Company
Jagged Alliance 2,1999,19991999,Action,9.0,304,Canada,Sir-Tech
Sûpâ Mario korekushon,1993,19931993,ActionAdventureFamily,9.0,1.1K,Japan,Nintendo
The Longest Journey,1999,19991999MM,AdventureDramaFantasy,9.0,1.1K,Norway,Funcom
The Neverhood,1996,19961996TT,AdventureComedyMystery,9.0,575,United States,DreamWorks Interactive
Final Fantasy VI,1994,19941994TT,ActionAdventureFantasy,9.0,3K,Japan,Square Company
Day of the Tentacle,1993,19931993,AdventureComedySci-Fi,9.0,1.9K,United States,LucasArts Entertainment Company
Silent Hill,1999,19991999MM,DramaHorrorMystery,9.0,5.6K,Japan,Konami Computer Entertainment
The Beast Within: A Gabriel Knight Mystery,1995,19951995MM,AdventureDramaHorror,9.0,777,Canada,Sierra Entertainment
Hades,2018,20182018TT,ActionAdventureFantasy,8.9,1.5K,United States,Supergiant Games
Chaos;Child,2014,20142014,MysterySci-Fi,8.9,16,Japan,
Faiâ emuburemu: Fuuka setsugetsu,2019,20192019TT,AdventureDramaFantasy,8.9,695,Japan,Intelligent Systems
The Legend of Zelda: Majora's Mask 3D,2015,20152015E10+E10+,ActionAdventureFantasy,8.9,727,Japan,Grezzo
Kurobara no warukyûre,2016,20162016TT,Action,8.9,19,Japan,Compile Heart
Super Smash Bros. Ultimate,2018,20182018E10+E10+,ActionAdventureFantasy,8.9,3.3K,Japan,Bandai Namco Entertainment
Life Is Strange,2015,20152015MM,DramaMysterySci-Fi,8.9,12K,France,Dontnod Entertainment
Halo: The Master Chief Collection,2014,20142014MM,ActionAdventureSci-Fi,8.9,2.1K,United States,343 Industries
Ryû ga gotoku Zero: Chikai no basho,2015,20152015MM,ActionCrimeDrama,8.9,1.5K,Japan,Ryu Ga Gotoku Studio
Tales from the Borderlands: A Telltale Games Series,2014,20142014MM,AdventureComedySci-Fi,8.9,3.9K,United States,Gearbox Software
The Last of Us: Left Behind,2014,20142014MM,ActionAdventureDrama,8.9,9.7K,United States,Naughty Dog
The Wolf Among Us,2013,20132013MM,ActionCrimeDrama,8.9,7.1K,United States,DC Entertainment
Black Sails: Das Geisterschiff,2010,20102010,Adventure,8.9,79,Germany,Deck 13 Interactive
Parodius: Tako wa Chikyû o Sukuu,1988,19881988,ActionComedyFamily,8.9,55,Japan,Konami Industries
Growlanser: Wayfarer of Time,2003,20032003TT,ActionAdventureDrama,8.9,23,Japan,Career Soft
Far Cry 3,2012,20122012MM,ActionAdventure,8.9,19K,Canada,Ubisoft Massive Studio
South Park: The Stick of Truth,2014,20142014MM,ActionAdventureComedy,8.9,4.8K,United States,345 Games
BeamNG.drive,2013,20132013,ActionSport,8.9,12,Germany,BeamNG
Fallout: New Vegas,2010,20102010MM,ActionAdventureSci-Fi,8.9,12K,United States,Obsidian Entertainment
Super Mario Galaxy 2,2010,20102010EE,ActionAdventureFamily,8.9,2.5K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
Rogue Legacy 2,2022,20222022E10+E10+,ActionAdventure,8.9,7,Canada,Cellar Door Games
Death Stranding Director's Cut,2021,20212021MM,ActionAdventureDrama,8.9,282,Japan,Kojima Productions
Mass Effect 2: Lair of the Shadow Broker,2010,20102010MM,ActionAdventureSci-Fi,8.9,68,Canada,Bioware
Cuphead: The Delicious Last Course,2022,20222022E10+E10+,AnimationActionAdventure,8.9,121,Canada,Studio MDHR
Heroes of Might and Magic III: The Shadow of Death,2000,20002000,ActionAdventureFantasy,8.9,598,United States,New World Computing
The Great Ace Attorney Chronicles,2021,20212021TT,AdventureComedyDrama,8.9,74,Japan,Capcom Company
Age of Empires II: Definitive Edition,2019,20192019,Adventure,8.9,110,United States,Forgotten Empires
Dark Souls III: The Ringed City,2017,20172017,ActionAdventureFantasy,8.9,291,Japan,From Software
Blaseball,2020,20202020,HorrorSport,8.9,9,United States,The Game Band
Metal Gear Solid: The Legacy Collection,2013,20132013,,8.9,36,Japan,
Densetsu no sutafî: Taiketsu! Daîru kaizokudan,2008,20082008EE,ActionAdventureFantasy,8.9,21,Japan,Tose
Metroid Prime: Trilogy,2009,20092009TT,ActionAdventureMystery,8.9,35,Japan,
Forza Horizon 4: Best of Bond,2018,20182018,AnimationActionAdventure,8.9,16,United Kingdom,Microsoft Studios
ZS Dead Detective - Pumpkin Dead,2019,20192019,Mystery,8.9,7,Italy,Armor Games
Sherlock: The Network,2014,20142014,Crime,8.9,101,United Kingdom,The Project Factory
Persona 3,2006,20062006MM,ActionAdventureFantasy,8.9,789,Japan,Atlus
Final Fantasy XIV: Shadowbringers,2019,20192019TT,ActionAdventureFantasy,8.9,162,Japan,Square Enix Company
Gothic,2001,20012001TT,ActionAdventureFantasy,8.9,769,Germany,Piranha Bytes
Grand Theft Auto IV,2008,20082008MM,ActionCrimeDrama,8.9,34K,United Kingdom,Rockstar North
The Warriors,2005,20052005MM,ActionCrimeThriller,8.9,1.9K,Canada,Rockstar Toronto
Star Wars: Knights of the Old Republic II - The Sith Lords,2004,20042004TT,ActionAdventureDrama,8.9,5.2K,United States,Obsidian Entertainment
Quest for Glory I: So You Want to Be a Hero,1989,19891989,AdventureFantasy,8.9,116,United States,Sierra Entertainment
Warcraft III: The Frozen Throne,2003,20032003,ActionAdventureFantasy,8.9,3.4K,United States,
Metal Gear Solid: The Twin Snakes,2004,20042004MM,ActionAdventureDrama,8.9,1.6K,Japan,Silicon Knights
Eternal Darkness: Sanity's Requiem,2002,20022002MM,AdventureFantasyHorror,8.9,785,Canada,Nintendo
Metroid Prime,2002,20022002TT,ActionAdventureMystery,8.9,2K,United States,GameCube
System Shock 2,1999,19991999MM,ActionAdventureHorror,8.9,1.1K,United States,Irrational Games
Arcanum: Of Steamworks and Magick Obscura,2001,20012001MM,AdventureDramaFantasy,8.9,405,United States,
Warcraft III: Reign of Chaos,2002,20022002,ActionAdventureFantasy,8.9,3.5K,United States,Blizzard Entertainment
Tenchi souzou,1995,19951995,AdventureFantasy,8.9,215,United Kingdom,Enix
Xenogears,1998,19981998TT,ActionAdventureFantasy,8.9,647,Japan,Square Company
Poketto monsutâ aka,1996,19961996EE,ActionAdventureFamily,8.9,2.5K,Japan,Creatures
Broken Sword: The Shadow of the Templars,1996,19961996,AdventureMysteryRomance,8.9,1.1K,United Kingdom,Revolution Software
Mother 2: Gîgu no gyakushuu,1994,19941994TT,AdventureComedyFantasy,8.9,1K,Japan,Ape
Civilization II,1996,19961996,History,8.9,925,United States,AWE Games
Bio Hazard,1996,19961996MM,ActionHorrorMystery,8.9,5.4K,Japan,Capcom Company
Super Mario Bros.,1985,19851985,ActionAdventureFantasy,8.9,6.2K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
The Pandora Directive,1996,19961996,ActionAdventureComedy,8.9,268,United States,Access Software Inc.
Baldur's Gate,1998,19981998TT,ActionAdventureFantasy,8.9,1.8K,United States,Bioware
Blade Runner,1997,19971997TT,MysterySci-FiThriller,8.9,1.9K,United States,Westwood Studios Inc.
Kirby's Extra Epic Yarn,2019,20192019EE,Adventure,8.8,104,Japan,Good-Feel Co.
World Cricket Championship 2,2015,20152015,Sport,8.8,6,India,Nextwave Multimedia
Nehrim: At Fate's Edge,2010,20102010,ActionAdventureFantasy,8.8,8,Germany,
D.I.R.T.: Origin of the Species,2006,20062006,ActionAdventureFantasy,8.8,7,United States,Generation Gamers Game
The Legend of Heroes: Trails of Cold Steel IV,2018,20182018,AdventureFantasy,8.8,43,Japan,Nihon Falcom Corporation
Higurashi: When They Cry Kai,2004,20042004,DramaHorrorMystery,8.8,54,Japan,
Higurashi: When They Cry,2002,20022002,DramaHorrorMystery,8.8,84,Japan,
Sekiro: Shadows Die Twice,2019,20192019MM,ActionAdventureFantasy,8.8,3K,Japan,From Software
Highway Blossoms,2018,20182018,AdventureDramaRomance,8.8,19,United States,Studio Coattails
Gintama ranbu,2018,20182018,,8.8,13,Japan,
